Number,State,Value,Param alpha,Param beta,Param dropout,Param gamma,Param local_lamda,Param lr,Param optimizer
0,COMPLETE,0.9404709324406059,0.8028937956121179,0.2657570870981687,0.2,3.9752866547085928,26,0.0003633016576654086,Adam
1,COMPLETE,0.939704330946788,0.5634959159861584,0.9299924112162518,0.30000000000000004,2.774409743929484,42,0.007024429078475033,Adam
2,COMPLETE,0.9494296203564345,0.7172559868814937,0.6058859700705516,0.2,3.437796785252727,17,0.0006996325890838414,Adam
3,COMPLETE,0.949951472015529,0.8793601295686999,0.6154455415337395,0.5,1.4074190934684134,35,0.0016280649933383391,Adam
4,COMPLETE,0.9454559520627911,0.592133706588385,0.4229010524470993,0.1,2.4698694475824046,17,0.000628675184895473,Adam
5,COMPLETE,0.9473168947716372,0.9306087858256181,0.36412685888140806,0.30000000000000004,2.913897467179508,30,0.0009890778332244184,Adam
6,COMPLETE,0.915721660360373,0.3291256573044338,0.04239635719176316,0.1,1.103741999004475,48,1.3961435776499806e-05,Adam
7,COMPLETE,0.9258759652849085,0.5149493324585752,0.49393125918714975,0.1,2.451611361265922,21,2.445818057863411e-05,Adam
8,COMPLETE,0.9413570956352946,0.46139324451994534,0.6096554397090699,0.1,2.615783173700739,33,0.003245500310326508,Adam
9,COMPLETE,0.9121488754167076,0.42434003897179473,0.5510716682961734,0.4,4.86337771117192,18,6.38873516997706e-05,Adam
10,COMPLETE,0.9381640949179244,0.11859990955971794,0.8524712865650115,0.5,0.023080994733272853,40,8.635279642604632e-05,Adam
11,COMPLETE,0.9422636546495435,0.8070887061260649,0.6897211688680716,0.5,1.4424604462395219,12,0.0018637786763983709,Adam
12,COMPLETE,0.9380192142686341,0.7167628421998651,0.7536681983474612,0.4,3.7708958503712617,35,0.000213973245305134,Adam
13,COMPLETE,0.9446703613576584,0.99759888273114,0.7713280722977597,0.2,1.4812641799265398,10,0.0020859244054370002,Adam
14,COMPLETE,0.9486257437441098,0.7461612267991824,0.2712863640261338,0.2,0.7324594311349646,27,0.004829891807508142,Adam
15,COMPLETE,0.9404934381725344,0.9036496260440064,0.6288776969596122,0.4,3.708836802255679,38,0.0008524992092893254,Adam
16,COMPLETE,0.9301872195574811,0.6670463150306463,0.0051028497968237385,0.30000000000000004,2.0152107735456184,25,0.0002005855951812846,Adam
17,COMPLETE,0.9206335363537901,0.8678882184502233,0.48183359413421406,0.5,4.484090900651337,47,0.009626079445711155,Adam
18,COMPLETE,0.9332606585739807,0.6649649641133704,0.8779973088639481,0.2,3.1600743066466537,15,0.00048335404637640474,Adam
19,COMPLETE,0.9365486053479245,0.9876195079904335,0.9771566341739548,0.4,1.8853136044895435,21,0.001446392878509583,Adam
20,COMPLETE,0.9321508446682515,0.2322534498560333,0.3248530285026129,0.30000000000000004,3.3374484156025024,32,0.00010978750674316257,Adam
21,COMPLETE,0.9587920048387324,0.7675611040566128,0.11430828120034575,0.2,0.3810223371366456,27,0.004114461144640278,Adam
22,COMPLETE,0.9466403162055336,0.828204821238233,0.21818181492769492,0.2,0.15181963662447018,21,0.003148049100628241,Adam
23,COMPLETE,0.9465671725767657,0.7423943999092825,0.14102256102332966,0.2,0.5348532250142259,28,0.0012036573551184057,Adam
24,COMPLETE,0.956192592800979,0.6355861463474793,0.5645606668592107,0.2,0.882178144175969,37,0.0039491170595343855,Adam
25,COMPLETE,0.959425681853347,0.6209470414429622,0.4229891622707771,0.30000000000000004,0.7417165523507132,44,0.004279194456845918,Adam
26,COMPLETE,0.951270870549843,0.6296352741872753,0.17534448790246604,0.30000000000000004,0.6828239327446883,44,0.004642848066174257,Adam
27,COMPLETE,0.9396635393076676,0.5200137862871242,0.4210628863984508,0.30000000000000004,1.0006074799548803,37,0.009602506216007188,Adam
28,COMPLETE,0.9476474477093385,0.40855759094000454,0.0804818077981142,0.2,0.23859435951694008,50,0.003243729577537142,Adam
29,COMPLETE,0.9482445529095692,0.6349716392222329,0.3233010795849804,0.1,0.4468318964472527,44,0.005235943308895051,Adam
30,COMPLETE,0.9453188077588511,0.7925416553065168,0.11921511017880049,0.2,1.0140521741451867,24,0.0024221746264049887,Adam
31,COMPLETE,0.9498368334435177,0.6172577903386408,0.16681709067062628,0.30000000000000004,0.669717106477044,44,0.005089730068179159,Adam
32,COMPLETE,0.9531711982895644,0.5357675941375819,0.2861467988748258,0.30000000000000004,1.7807473207295907,42,0.006328280282077341,Adam
33,COMPLETE,0.9522147046825988,0.5421520774881127,0.26104653592190524,0.30000000000000004,1.9348773460097781,41,0.00701113284380135,Adam
34,COMPLETE,0.9544955199527378,0.4915932183317257,0.3795957775023655,0.4,1.2221500698976175,39,0.006930252712714432,Adam
35,COMPLETE,0.9466276567313238,0.6917676848811884,0.3808053683811263,0.4,1.1818354394766177,38,0.0034592872696521206,Adam
36,COMPLETE,0.9432665663286118,0.38662396453131914,0.5291079854561107,0.4,0.3743847140658901,35,0.009517993124714144,Adam
37,COMPLETE,0.9505584234734784,0.5913212036971213,0.42161398431128005,0.2,0.7965416498906908,31,0.0025484154470038823,Adam
38,COMPLETE,0.9506027316332127,0.4575023729702563,0.47554451336230874,0.1,2.1965383957331333,29,0.0013782261808920095,Adam
39,COMPLETE,0.94309847664327,0.3425723068997138,0.5632214180345327,0.4,1.6335744440299726,34,0.0004197022459563284,Adam
40,COMPLETE,0.959942610383582,0.47082783421157626,0.687883846782853,0.30000000000000004,1.2531989701652895,46,0.004014253848730616,Adam
41,COMPLETE,0.9470517491173533,0.4908608457264462,0.6652162658912462,0.30000000000000004,1.2489723286055778,47,0.006822667338406107,Adam
42,COMPLETE,0.9508882731070569,0.5717754079978663,0.7124352684778336,0.30000000000000004,0.9210619760795079,45,0.0034467418688726424,Adam
43,COMPLETE,0.9510880114779233,0.48038810989805114,0.5763030529088439,0.2,1.2491496106418631,50,0.0038122743362526894,Adam
44,COMPLETE,0.9463463350822162,0.30474850190418035,0.792510378146068,0.2,0.2943181098980082,39,0.0018916059799064012,Adam
45,COMPLETE,0.9423248421082244,0.5672209136257966,0.4543993209253193,0.1,1.4576497830148916,42,0.0010265379967705482,Adam
46,COMPLETE,0.9448412642594911,0.7654896831664606,0.5179960419742179,0.4,2.2459192162943826,46,0.0006774663506816993,Adam
47,COMPLETE,0.9453385002742887,0.4510795371933497,0.6439425224469384,0.30000000000000004,0.045916988497500144,36,0.002313454926736131,Adam
